url,clicks_6mo,impressions_6mo,avg_position,proposed_tier,topic,proposed_redirect_target
/can-you-have-an-eating-disorder-and-not-realize-it/,1297.0,29539.0,8.7,A - Keep live (proven traffic),Eating Disorders,"(keep live, no redirect)"
/toxic-codependency-looks-like/,471.0,28319.0,7.4,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/sex-addiction-drug-addiction/,201.0,18541.0,7.2,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/drug-induced-psychosis/,126.0,28374.0,9.0,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/mackenzie-phillips-joins-breathe-as-addiction-counselor/,120.0,8349.0,5.0,A - Keep live (proven traffic),Company news/PR/Team,"(keep live, no redirect)"
/vicious-cycle-addiction/,93.0,16539.0,13.2,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/5-weird-things-alcohol-withdrawal/,91.0,3106.0,11.2,A - Keep live (proven traffic),Alcohol,"(keep live, no redirect)"
/hookah-smoking-smoking-tobacco/,74.0,18397.0,6.1,A - Keep live (proven traffic),Nicotine/smoking (no direct page - route to hub),"(keep live, no redirect)"
/hand-mouth/,59.0,8123.0,7.3,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/can-you-force-someone-to-go-to-rehab/,47.0,5864.0,14.4,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/abuse-c-ptsd-complex-post-traumatic-stress-disorder/,42.0,6578.0,23.5,A - Keep live (proven traffic),Trauma/PTSD,"(keep live, no redirect)"
/smoking-suicide/,35.0,3417.0,8.3,A - Keep live (proven traffic),Nicotine/smoking (no direct page - route to hub),"(keep live, no redirect)"
/prevent-failure-launch-children/,28.0,3541.0,22.1,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/skillful-vs-unskillful-love/,25.0,3464.0,7.6,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/psychiatrist-steve-karp/,23.0,2058.0,9.4,A - Keep live (proven traffic),Company news/PR/Team,"(keep live, no redirect)"
/chemsex-what-is-it-and-why-is-it-dangerous/,22.0,4585.0,36.9,A - Keep live (proven traffic),Chemsex (signature service),"(keep live, no redirect)"
/eating-disorder-nutrition/,22.0,325.0,12.4,A - Keep live (proven traffic),Eating Disorders,"(keep live, no redirect)"
/how-to-start-the-conversation-about-rehab/,21.0,3555.0,9.0,A - Keep live (proven traffic),Uncategorized/off-topic,"(keep live, no redirect)"
/breathes-new-office-location-on-melrose/,21.0,1517.0,7.3,A - Keep live (proven traffic),Company news/PR/Team,"(keep live, no redirect)"
/manage-nicotine-withdrawal/,16.0,14961.0,12.3,A - Keep live (proven traffic),Nicotine/smoking (no direct page - route to hub),"(keep live, no redirect)"
/living-with-someone-who-has-ocd/,16.0,5571.0,11.1,A - Keep live (proven traffic),OCD (no direct page - route to Anxiety),"(keep live, no redirect)"
/orange-new-black-got-mackenzie-phillips-tap-past/,15.0,3150.0,7.1,A - Keep live (proven traffic),Company news/PR/Team,"(keep live, no redirect)"
/flight-attendant-mental-health/,15.0,547.0,7.2,A - Keep live (proven traffic),Flight Attendant Program,"(keep live, no redirect)"
/lgbt-drug-rehab-in-los-angeles-inclusive-and-compassionate-care/,14.0,8835.0,40.5,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/addiction-treatment-for-gay-men/,13.0,3000.0,32.2,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/gay-rehab-centers-in-los-angeles-tailored-support-for-the-lgbtq-community/,6.0,6499.0,18.5,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/transgender-treatment-for-addiction-in-los-angeles-inclusive-and-understanding-care/,6.0,874.0,19.2,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/grindr-hookup-culture-and-substance-use-what-queer-men-should-know/,2.0,130.0,9.0,"B - Keep for brand strategy (on-topic, low current traffic)",Chemsex (signature service),"(keep live, no redirect)"
/breathe-life-healing-centers-welcomes-transgender-people/,2.0,89.0,9.3,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/gay-addiction-treatment-in-los-angeles/,1.0,1036.0,63.3,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/gay-rehab-centers-in-los-angeles-addressing-unique-needs-in-recovery/,0.0,1277.0,38.6,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/how-minority-stress-drives-substance-use-in-lgbtq-communities/,0.0,44.0,6.8,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/chemsex-addiction/,0.0,35.0,27.5,"B - Keep for brand strategy (on-topic, low current traffic)",Chemsex (signature service),"(keep live, no redirect)"
/why-queer-people-deserve-treatment-that-actually-sees-them/,0.0,29.0,23.7,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/lgbtqia-affirming-addiction-treatment-in-los-angeles-finding-the-right-support/,0.0,27.0,17.8,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/celebrating-national-lgbt-history-month/,0.0,1.0,6.0,"B - Keep for brand strategy (on-topic, low current traffic)",LGBTQ+ (signature service),"(keep live, no redirect)"
/meth-addiction-how-crystal-recovery-works/,14.0,3171.0,32.1,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/drug-addicts-anonymous-meetings-expect/,13.0,2301.0,17.5,C - Redirect/consolidate into new page,Support groups/Alumni,/programs/alumni-program/
/things-need-know-trichotillomania/,12.0,6036.0,38.7,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/why-is-depression-on-the-rise/,12.0,2183.0,22.9,C - Redirect/consolidate into new page,Depression,/conditions/depression/
/can-you-ever-fully-recover-from-an-eating-disorder/,11.0,1039.0,21.4,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/meet-the-intake-team/,11.0,631.0,9.4,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/sobriety-on-pain-meds/,11.0,448.0,10.8,C - Redirect/consolidate into new page,Opioids,/what-we-treat/opioids/
/binge-eating-disorder/,10.0,4421.0,11.3,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/benefits-quitting-smoking/,10.0,4198.0,36.3,C - Redirect/consolidate into new page,Nicotine/smoking (no direct page - route to hub),/what-we-treat/
/7-signs-you-are-suffering-from-anorexia/,10.0,1789.0,21.4,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/tips-parents-addicts/,10.0,1412.0,38.4,C - Redirect/consolidate into new page,For Families,/admissions/for-families/
/whats-even-in-diet-pills/,9.0,6549.0,11.9,C - Redirect/consolidate into new page,Eating Disorders (food/diet),/what-we-treat/eating-disorders/
/he-intervenes-with-compassion/,9.0,843.0,4.7,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/binge-eating-disorder-treatment/,7.0,4649.0,57.8,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/what-is-trichotillomania/,7.0,3258.0,21.7,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/how-to-know-when-the-occasional-binge-turns-into-binge-eating-disorder/,7.0,1168.0,17.8,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/types-eating-disorders-explained/,6.0,11281.0,50.1,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/is-it-paranoia-or-psychosis-managing-meth-induced-mental-health-crises/,6.0,713.0,19.3,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/anorexia-treatment-los-angeles/,5.0,2127.0,50.0,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/relapse-prone/,5.0,684.0,4.9,C - Redirect/consolidate into new page,Relapse/Alumni,/programs/alumni-program/
/sero-mental-health/,5.0,180.0,34.4,C - Redirect/consolidate into new page,Sero Mental Health,/about/sero-mental-health/
/clinical-outreach-coordinator/,5.0,100.0,25.7,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/food-addiction-treatment/,4.0,6234.0,39.2,C - Redirect/consolidate into new page,Eating Disorders (food/diet),/what-we-treat/eating-disorders/
/how-to-prevent-obesity/,4.0,5135.0,38.4,C - Redirect/consolidate into new page,Eating Disorders (food/diet),/what-we-treat/eating-disorders/
/bed-the-most-common-eating-disorder-in-america/,4.0,4018.0,20.4,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/how-anorexia-affects-the-body/,4.0,1543.0,32.2,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/could-you-unknowingly-have-an-eating-disorder/,4.0,304.0,61.0,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/interventionist-brad-lamm-shares-his-insight-on-food-addiction/,4.0,205.0,6.6,C - Redirect/consolidate into new page,Eating Disorders (food/diet),/what-we-treat/eating-disorders/
/body-dysmorphic-disorder-symptoms/,3.0,3916.0,47.7,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/medication-assisted-treatment/,3.0,2123.0,46.5,C - Redirect/consolidate into new page,MAT,/programs/medication-assisted-treatment/
/intensive-outpatient-program/,3.0,1913.0,47.4,C - Redirect/consolidate into new page,IOP,/programs/intensive-outpatient/
/rodrigo-dasilva-joins-the-breathe-team/,3.0,1838.0,7.6,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/importance-integrated-treatment-dual-diagnosis/,3.0,1015.0,47.3,C - Redirect/consolidate into new page,Dual Diagnosis,/conditions/dual-diagnosis/
/understanding-alcohol-withdrawal-symptoms-causes-and-treatment/,3.0,828.0,15.5,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/4-ways-to-heal-from-psychological-trauma/,3.0,657.0,17.8,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/breeding-addiction-moms-babies-opiates-arrive-pre-loaded/,3.0,296.0,8.8,C - Redirect/consolidate into new page,Opioids,/what-we-treat/opioids/
/the-polyvagal-theory-trauma-and-mental-health/,2.0,2471.0,72.7,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/types-anxiety-disorder/,2.0,1628.0,15.4,C - Redirect/consolidate into new page,Anxiety,/conditions/anxiety/
/bulimia-causes/,2.0,1340.0,49.6,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/how-methamphetamine-affects-your-physical-health/,2.0,758.0,75.1,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/what-is-bulimia/,2.0,624.0,55.5,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/treatment-eating-disorders/,2.0,618.0,56.8,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/common-eating-disorder-america/,2.0,609.0,52.7,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/day-treatment/,2.0,487.0,13.3,C - Redirect/consolidate into new page,PHP,/programs/php/
/body-dysmorphia-disorder/,2.0,486.0,20.8,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/what-happens-during-meth-detox/,2.0,100.0,21.6,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/breathe-eating-disorder-recovery/,2.0,28.0,15.4,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/treatment-for-bulimia/,1.0,5913.0,58.5,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
